observed_categories,observed_source_decisions,category_rule_pattern,review_tier,suggested_manual_decision,suggestion_basis,profile_count,markets,sample_titles,group_manual_decision,group_decision_evidence,reviewed_by,reviewed_on,review_block_id,category_group_id,review_block_basis,review_domain,profiles_with_dental_title_signal,profiles_with_nondental_title_signal,profiles_with_unknown_categories,profiles_with_nonprovider_category_signal,profiles_with_existing_website,profiles_with_phone,profiles_without_website_or_phone,allowed_group_review_actions,reviewed_member_count
Business administration service,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Eureka_CA_S,North Coast Clinics Network,,,,,eligibility_review_block:378cfb7193162fc7,eligibility_group:95a4c5f41bb94bef,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Dr. Siamak Rambod,,,,,eligibility_review_block:379795e9694f4fb1,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Educational institution,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,LA_CA_L,Global Dental Assistant Program.,,,,,eligibility_review_block:383186ec58e119e1,eligibility_group:a5d78c435f0148a2,singleton_profile,,1,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dentist|Medical clinic,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Atlanta_GA_L,Mercy Care,,,,,eligibility_review_block:38322e494d18206c,eligibility_group:9acced880530cd1b,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental school,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,Columbia University College of Dental Medicine,,,,,eligibility_review_block:3904e733b68ab8d9,eligibility_group:03aabea56f3fd971,singleton_profile,,1,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Otolaryngology clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Head & Neck Surgical Group,,,,,eligibility_review_block:39334aa2da413e50,eligibility_group:772713ab1100c436,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,Tom Waddell Urban Health Center,,,,,eligibility_review_block:3c705ff237e69cef,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Community Healthcare Network – Lower East Side / Catherine M. Abate,,,,,eligibility_review_block:3cd0713d348a59b1,eligibility_group:75eedbc19c8622b7,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Homeless shelter,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Project Renewal Fort Washington Men's Shelter,,,,,eligibility_review_block:3ce0aa1cf632b127,eligibility_group:488e8f068db9ff30,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,NYC_NY_L,Jack Martin Fund Clinic || Mount Sinai Queens-Family Health,,,,,eligibility_review_block:3e1c0340286c06e2,eligibility_group:504917ff371eb69d,shared_domain_within_category_group,www.mountsinai.org,0,0,0,0,2,2,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Apicha Community Health Center - Jackson Heights-Queens,,,,,eligibility_review_block:3e1e10cc72501bff,eligibility_group:b070ffeb7e138d00,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,LA_CA_L,"APLA Health Center, CDU/MLK Medical Campus",,,,,eligibility_review_block:3e60bec362d25d35,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,The Allergy Eliminator,,,,,eligibility_review_block:3f21e0a4570e8447,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Denture care center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Primary Denture Repair and Implants,,,,,eligibility_review_block:3f2c09d94c4caf37,eligibility_group:fe4a0b2a99a6e2f0,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Via Care Cesar Chavez Health Center,,,,,eligibility_review_block:40aa3ebf615d3fda,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Central City Community Health Center,,,,,eligibility_review_block:40f74497665d3559,eligibility_group:75eedbc19c8622b7,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Free clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,Buffalo_NY_L,Lighthouse Free Medical Clinic,,,,,eligibility_review_block:411a2c3d580b223c,eligibility_group:192e3304f6009b7f,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Doctor,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,"Dr. mihai M. oral, DDS",,,,,eligibility_review_block:4129ce3e33ef65c6,eligibility_group:933ded2705f84074,singleton_profile,,1,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Free clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,Augusta_GA_L,ALAS Free Women's Clinic || Centro Médico || Clínica Latina,,,,,eligibility_review_block:412c3c0374129aa8,eligibility_group:8550c2bf40cd4dfa,shared_domain_within_category_group,www.alas-csra.org,0,0,0,0,3,2,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,The Cardiac Connection,,,,,eligibility_review_block:41efcc276edea1f7,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical office,needs_category_review,unknown,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,SaranacLake_NY_S,Mountain Medical Services Saranac Lake,,,,,eligibility_review_block:41fc24fe07e03e7d,eligibility_group:f2764acdfe16f6b9,singleton_profile,,0,1,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Acupuncturist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Akpinar Bill B,,,,,eligibility_review_block:42983d00b3e73cf7,eligibility_group:109ca635159bfcf9,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,"Flushing Dental Implant, Oral & Facial Surgery",,,,,eligibility_review_block:4488950b47e77ccd,eligibility_group:3a576676bc82902a,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical group,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,AltaMed Medical and Dental Group - South Gate,,,,,eligibility_review_block:44f13bc44b5fc9a8,eligibility_group:a7d77b97fc90c3df,singleton_profile,,1,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Association / Organization,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,"Spanish American Medical Dental Society of New York, Inc.",,,,,eligibility_review_block:466e385c629f5f95,eligibility_group:2b363d7841954eac,singleton_profile,,1,1,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Furniture maker,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Aesthetic,,,,,eligibility_review_block:46a52b1dd6bbb716,eligibility_group:6a202a936b857088,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Home health care service,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,TelerainMD-Online Doctor Consultation,,,,,eligibility_review_block:470d90260693674d,eligibility_group:3fb50d6253134f7d,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Graduate school,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,"University of Pacific (UOP), San Francisco",,,,,eligibility_review_block:4800eb18d564991b,eligibility_group:e231d05b9a97123e,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,ZendyHealth,,,,,eligibility_review_block:498b511e0b067451,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Veterinary care,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,LA_CA_L,"Dog and Cat Dentist, Inc.",,,,,eligibility_review_block:4b2f5d9bcc07a2c7,eligibility_group:7d6616894d81e917,singleton_profile,,1,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Denture care center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Long Island Denture Center,,,,,eligibility_review_block:4b83727581ef5e9d,eligibility_group:fe4a0b2a99a6e2f0,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Macon_GA_M,Ford and Ivey Family Dentistry,,,,,eligibility_review_block:4ebce006d85b7f60,eligibility_group:3a576676bc82902a,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,Atlanta_GA_L,Southside Medical Center,,,,,eligibility_review_block:4f075eedf7a267b1,eligibility_group:d6a5057259cdd490,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,LA_CA_L,To Help Everyone - La Brea Health Center || To Help Everyone - Lennox Health Center || To Help Everyone - Western Health Center,,,,,eligibility_review_block:4f16c30f833763cd,eligibility_group:504917ff371eb69d,shared_domain_within_category_group,www.tohelpeveryone.org,0,0,0,0,3,3,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,Altadena Dental Center,,,,,eligibility_review_block:4f86c97fb3c99fe0,eligibility_group:3a576676bc82902a,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Denture care center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Denture Care Services,,,,,eligibility_review_block:4ff6d04b5a110b97,eligibility_group:fe4a0b2a99a6e2f0,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Walk-in clinic,needs_category_review,unknown,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,NYC_NY_L,White Plains Road Medical,,,,,eligibility_review_block:5031e54de005a7f6,eligibility_group:5896a9c912cf053a,singleton_profile,,0,1,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,BMS Family Health and Wellness Centers@Ashford,,,,,eligibility_review_block:50b76de9d5f67b05,eligibility_group:b070ffeb7e138d00,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Pathologist,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,6,NYC_NY_L,"Daria Vasilyeva, DDS, PhD || Daria Vasilyeva, DDS, PhD || Daria Vasilyeva, DDS, PhD || Elizabeth Marie Philipone, DMD || Khanh Trinh, DMD || Khanh Trinh, DMD",,,,,eligibility_review_block:50dfe560113f30b1,eligibility_group:4fb818b440620080,shared_domain_within_category_group,doctors.columbia.edu,6,0,6,0,6,5,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Clothing store,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,Struggle Compound,,,,,eligibility_review_block:51e1ee095cd63c36,eligibility_group:542f09dfc2a7d5b4,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
General practitioner,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,Epel Lidia M DDS,,,,,eligibility_review_block:525886965694f466,eligibility_group:2897f4835d55a24e,singleton_profile,,1,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Plastic surgery clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Jaw Surgery Los Angeles,,,,,eligibility_review_block:529daee86191b13c,eligibility_group:f4c429ee0eaa6a16,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Consultant,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Workforce Resource & Management Group,,,,,eligibility_review_block:52fd2bfc8c173032,eligibility_group:33f2d6fdc924912e,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Music instruction,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Studer Performance Art,,,,,eligibility_review_block:536e252326dc6742,eligibility_group:d4d460f80a65be63,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Dr. Luzmarina Coffey,,,,,eligibility_review_block:5378e85b3823826e,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Optometrist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,FortBragg_CA_S,"J. Kyle Smith, OD",,,,,eligibility_review_block:5627fefc69762b1a,eligibility_group:608841ecf0b2db79,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental insurance agency,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,DC 37 Health Center,,,,,eligibility_review_block:566fe16447bbdddb,eligibility_group:62ebc388157a2b70,singleton_profile,,0,0,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Dr. Omid Arastehmanesh,,,,,eligibility_review_block:56c2836cb025a52a,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Macon_GA_M,Jasmine Edwards,,,,,eligibility_review_block:572d91b4219ccbc8,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dentist|Medical clinic,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,NYC_NY_L,Mandalay Dental Care PC.,,,,,eligibility_review_block:58cfa633d4da842c,eligibility_group:9acced880530cd1b,singleton_profile,,1,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Oral surgeon|Surgical center,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,LA_CA_L,Flintridge Office Oral Surgery & Implant Center,,,,,eligibility_review_block:591df8c630c05526,eligibility_group:5d66d5a72d6afc63,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Plastic surgeon,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,James Bradley,,,,,eligibility_review_block:5af3333a907bedb1,eligibility_group:ad9d7cea6cadeae3,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Veterinarian,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Buffalo_NY_L,Ellicott Street Animal Hospital,,,,,eligibility_review_block:5b0b4c8532959236,eligibility_group:33340ba2db18c2ad,singleton_profile,,0,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,LA_CA_L,"APLA Health Center, Long Beach || APLA Health, Gleicher/Chen Health Center, Baldwin Hills",,,,,eligibility_review_block:5b6be2e06fc03bf0,eligibility_group:504917ff371eb69d,shared_domain_within_category_group,aplahealth.org,0,0,0,0,2,2,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Hospital,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Atlanta_GA_L,Grady Health System,,,,,eligibility_review_block:5bdcb863be4d6bd3,eligibility_group:7a6fb05b52cfaa84,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Non-profit organization,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Comprehensive Community Health Centers - Eagle Rock,,,,,eligibility_review_block:5c3e369f37db6a5b,eligibility_group:284d9dbfa1c169a1,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Health and beauty shop,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,Atlanta_GA_L|NYC_NY_L,Smile Direct Club || Smile Direct Club || Smile Direct Club,,,,,eligibility_review_block:5d71e81bea632f59,eligibility_group:8ab421eda41309f2,shared_domain_within_category_group,smiledirectclub.com,0,0,3,0,3,3,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Church,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Eureka_CA_S,Wolven Richard F DDS,,,,,eligibility_review_block:5f46440ffc520b7e,eligibility_group:7498ca3084dac7b1,singleton_profile,,1,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Addiction treatment center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,HealthRIGHT 360,,,,,eligibility_review_block:5fd1c17645389daa,eligibility_group:1c581a3afe68aaf2,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,"The Joseph P. Addabbo Family Health Center, Inc.",,,,,eligibility_review_block:5fe61fe1f649a4f8,eligibility_group:b070ffeb7e138d00,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Non-profit organization,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Children's Aid - Dunlevy Milbank Center,,,,,eligibility_review_block:5fff7d16e629eefe,eligibility_group:284d9dbfa1c169a1,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Unicare Community Health Center - Los Angeles,,,,,eligibility_review_block:602117636e38b825,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Pain management physician,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,"Dr. Wei Ching Lee, MD - Arc Motion Rehab Clinic",,,,,eligibility_review_block:60a849dfd2738800,eligibility_group:da5f0c039fc4a778,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Dr. Oleg Zusin,,,,,eligibility_review_block:60c1ac06090022eb,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,LA_CA_L,"Serenity Care Health Group - Atlantic Adult Clinic || Serenity Care Health Group, FQHC-LAL",,,,,eligibility_review_block:612ba7b4fee98150,eligibility_group:75eedbc19c8622b7,shared_domain_within_category_group,serenitycarehealthgroup.org,0,0,0,0,2,2,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Eureka_CA_S,Open door clinic,,,,,eligibility_review_block:619971a47933ebbf,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Photographer,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Ron Rinaldi Photography,,,,,eligibility_review_block:624507677e9fd2aa,eligibility_group:b686c7871ae764f8,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Sleep clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,New York Sleep Solutions,,,,,eligibility_review_block:626ecc10d472452a,eligibility_group:d73fe04c4858867b,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,New York City Publishers,,,,,eligibility_review_block:62a7a4967b652f2a,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Insurance agency,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,NY Dental Insurance Quotes,,,,,eligibility_review_block:62f9d99b009a5fed,eligibility_group:f7c843be67e281eb,singleton_profile,,1,1,1,1,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,LA_CA_L,St. John’s Community Health at Compton College,,,,,eligibility_review_block:630e6ea599462ac2,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental school,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,2,LA_CA_L,UCLA School of Dentistry || Ucla School Of Dentistry,,,,,eligibility_review_block:647f765acce00698,eligibility_group:03aabea56f3fd971,shared_domain_within_category_group,www.dentistry.ucla.edu,2,2,2,2,2,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,NYU Lutheran Family Health Centers Brooklyn-Chinese,,,,,eligibility_review_block:64e19383c95c8e70,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Religious organization,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Atlanta_GA_L,Fellowship For Christian,,,,,eligibility_review_block:662db022da9036d7,eligibility_group:b5c4ce5395b98413,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental supply store,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,LA_CA_L,"Dunkel Dental Services & Equipment Sales, Inc.",,,,,eligibility_review_block:67bcb1f76b407156,eligibility_group:73ecfba8f12eba34,singleton_profile,,1,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Software company,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Buffalo_NY_L,ABEL Dental Software Inc,,,,,eligibility_review_block:6815bb6584da8011,eligibility_group:dfee5c9d3f99f6c3,singleton_profile,,1,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Veterinarian,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,The Sunnyside Pet Healthcare & Dental Center,,,,,eligibility_review_block:688050a04022296a,eligibility_group:33340ba2db18c2ad,singleton_profile,,1,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,ColumbiaDoctors - Midtown,,,,,eligibility_review_block:693a1df2c176f4ed,eligibility_group:b070ffeb7e138d00,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Mr. John Whitley,,,,,eligibility_review_block:69918f93543f1e20,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Cancer treatment center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Vantage Oncology,,,,,eligibility_review_block:6b43b8cf56fca6fa,eligibility_group:58feeb0c4d85c099,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
