domain_audit_sequence,normalized_source_domain,profile_count,review_block_count,market_count,markets,titles,observed_categories,website_urls,site_search_url,reuse_boundary
84,www.affinitycosmeticcenter.com,1,1,1,LA_CA_L,Affinity Cosmetic Center,Skin care clinic,http://www.affinitycosmeticcenter.com/,https://www.google.com/search?q=site%3Awww.affinitycosmeticcenter.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
85,www.apicha.org,1,1,1,NYC_NY_L,Apicha Community Health Center - Jackson Heights-Queens,Medical Center,https://www.apicha.org/locations/jackson-heights-clinic/,https://www.google.com/search?q=site%3Awww.apicha.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
86,www.aquaticrehabilitation.com,1,1,1,NYC_NY_L,Aquatic Rehabilitation Center,Rehabilitation center,http://www.aquaticrehabilitation.com/,https://www.google.com/search?q=site%3Awww.aquaticrehabilitation.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
87,www.arcmotionrehab.com,1,1,1,LA_CA_L,"Dr. Wei Ching Lee, MD - Arc Motion Rehab Clinic",Pain management physician,http://www.arcmotionrehab.com/,https://www.google.com/search?q=site%3Awww.arcmotionrehab.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
88,www.arroyovista.org,1,1,1,LA_CA_L,Wong Jessica Pea MD,Doctor,http://www.arroyovista.org/,https://www.google.com/search?q=site%3Awww.arroyovista.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
89,www.aspirehs.com,1,1,1,NYC_NY_L,Aspire Health Solutions,Home health care service,https://www.aspirehs.com/,https://www.google.com/search?q=site%3Awww.aspirehs.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
90,www.augusta.va.gov,1,1,1,Augusta_GA_L,VA Downtown Division,Hospital,https://www.augusta.va.gov/locations/directions.asp,https://www.google.com/search?q=site%3Awww.augusta.va.gov+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
91,www.betances.org,1,1,1,NYC_NY_L,Betances Health Center,Community health center,http://www.betances.org/,https://www.google.com/search?q=site%3Awww.betances.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
92,www.bewellmedical.com,1,1,1,NYC_NY_L,Be Well Primary Health Care Center,Internist,http://www.bewellmedical.com/,https://www.google.com/search?q=site%3Awww.bewellmedical.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
93,www.bmsfamilyhealth.org,1,1,1,NYC_NY_L,BMS Family Health and Wellness Centers@Ashford,Medical Center,https://www.bmsfamilyhealth.org/,https://www.google.com/search?q=site%3Awww.bmsfamilyhealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
94,www.brookdalehospital.org,1,1,1,NYC_NY_L,Brookdale Family Care Center - New Lots,Medical office,http://www.brookdalehospital.org/brookdale-family-care-center-bristol-street.html,https://www.google.com/search?q=site%3Awww.brookdalehospital.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
95,www.brooklynplaza.org,1,1,1,NYC_NY_L,Whitman Ingersoll Farragut Hea,Medical clinic,http://www.brooklynplaza.org/,https://www.google.com/search?q=site%3Awww.brooklynplaza.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
96,www.cbwchc.org,1,1,1,NYC_NY_L,Charles B. Wang Community Health Center,Medical Center,https://www.cbwchc.org/,https://www.google.com/search?q=site%3Awww.cbwchc.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
97,www.ccbq.org,1,1,1,NYC_NY_L,"Antonia Sarris, LCSW",Social services organization,http://www.ccbq.org/,https://www.google.com/search?q=site%3Awww.ccbq.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
98,www.cchsaugusta.org,1,1,1,Augusta_GA_L,Christ Community Health Peach Orchard,Medical clinic,https://www.cchsaugusta.org/,https://www.google.com/search?q=site%3Awww.cchsaugusta.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
99,www.cedars-sinai.org,1,1,1,LA_CA_L,"Ardeshir Soroushyari, M.D.",Internist,https://www.cedars-sinai.org/provider/ardeshir-soroushyari-2644702.html,https://www.google.com/search?q=site%3Awww.cedars-sinai.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
100,www.centralcityhealth.org,1,1,1,LA_CA_L,Central City Community Health Center,Community health center,http://www.centralcityhealth.org/,https://www.google.com/search?q=site%3Awww.centralcityhealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
101,www.clinicas.org,1,1,1,LA_CA_L,Clinicas Newbury Park Health Center,Community health center,https://www.clinicas.org/content/newbury-park,https://www.google.com/search?q=site%3Awww.clinicas.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
102,www.clinicbythebay.org,1,1,1,SanFrancisco_CA_L,Clinic by the Bay,Medical clinic,http://www.clinicbythebay.org/,https://www.google.com/search?q=site%3Awww.clinicbythebay.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
103,www.coffeeandconsultingllc.com,1,1,1,NYC_NY_L,Coffee and Consulting LLC,Bookkeeping service,https://www.coffeeandconsultingllc.com/,https://www.google.com/search?q=site%3Awww.coffeeandconsultingllc.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
104,www.columbiadoctors.org,1,1,1,NYC_NY_L,ColumbiaDoctors - Midtown,Medical Center,https://www.columbiadoctors.org/locations/columbiadoctors-midtown?utm_source=yextgmb&utm_medium=organic&utm_campaign=yext_doctor_listings,https://www.google.com/search?q=site%3Awww.columbiadoctors.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
105,www.cscla.org,1,1,1,LA_CA_L,Chinatown Service Center,Health,https://www.cscla.org/,https://www.google.com/search?q=site%3Awww.cscla.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
106,www.csdentalny.com,1,1,1,NYC_NY_L,Dr. Oleg Zusin,Medical clinic,https://www.csdentalny.com/meet-our-doctors,https://www.google.com/search?q=site%3Awww.csdentalny.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
107,www.curlyjanes.com,1,1,1,Buffalo_NY_L,CurlyJanes Crystal Rose,Herbalist,http://www.curlyjanes.com/,https://www.google.com/search?q=site%3Awww.curlyjanes.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
108,www.damian.org,1,1,1,NYC_NY_L,Damian Family Health Center,Medical clinic,http://www.damian.org/,https://www.google.com/search?q=site%3Awww.damian.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
109,www.devonshirehouse10th.com,1,1,1,NYC_NY_L,Devonshire House,Condominium complex,https://www.devonshirehouse10th.com/,https://www.google.com/search?q=site%3Awww.devonshirehouse10th.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
110,www.digestivecareconsultants.net,1,1,1,LA_CA_L,Endoscopy Center At Skypark,Medical clinic,http://www.digestivecareconsultants.net/,https://www.google.com/search?q=site%3Awww.digestivecareconsultants.net+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
111,www.downstate.edu,1,1,1,NYC_NY_L,Health Science Center At Brooklyn,Medical clinic,http://www.downstate.edu/,https://www.google.com/search?q=site%3Awww.downstate.edu+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
112,www.dublin.va.gov,1,1,1,Macon_GA_M,Macon VA Clinic,Medical clinic,http://www.dublin.va.gov/,https://www.google.com/search?q=site%3Awww.dublin.va.gov+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
113,www.elproyecto.us,1,1,1,LA_CA_L,El Proyecto Del Barrio,Medical clinic,https://www.elproyecto.us/,https://www.google.com/search?q=site%3Awww.elproyecto.us+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
114,www.encinosleepandtmj.com,1,1,1,LA_CA_L,Encino Center for Sleep and TMJ Disorders,Sleep clinic,http://www.encinosleepandtmj.com/,https://www.google.com/search?q=site%3Awww.encinosleepandtmj.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
115,www.envoyhealth.io,1,1,1,SanFrancisco_CA_L,Envoy Health,Health consultant,https://www.envoyhealth.io/,https://www.google.com/search?q=site%3Awww.envoyhealth.io+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
116,www.facebook.com,1,1,1,Augusta_GA_L,Shifa Care Clinic,Medical Center,https://www.facebook.com/shifacareclinic,https://www.google.com/search?q=site%3Awww.facebook.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
117,www.facialtherapystudio.com,1,1,1,SanFrancisco_CA_L,Facial Therapy Studio,Medical spa,https://www.facialtherapystudio.com/,https://www.google.com/search?q=site%3Awww.facialtherapystudio.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
118,www.fcaoutdoors.com,1,1,1,Atlanta_GA_L,Fellowship For Christian,Religious organization,http://www.fcaoutdoors.com/,https://www.google.com/search?q=site%3Awww.fcaoutdoors.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
119,www.firstchoiceprimarycare.org,1,1,1,Macon_GA_M,First Choice Primary Care: Rountree Rhonda MD,Registered general nurse,https://www.firstchoiceprimarycare.org/,https://www.google.com/search?q=site%3Awww.firstchoiceprimarycare.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
120,www.firstfamilycare.com,1,1,1,NYC_NY_L,First Family Care Medical and Dental,Medical clinic,http://www.firstfamilycare.com/,https://www.google.com/search?q=site%3Awww.firstfamilycare.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
121,www.fofhealthcenter.org,1,1,1,LA_CA_L,Friends of Family Health Center,Medical clinic,http://www.fofhealthcenter.org/,https://www.google.com/search?q=site%3Awww.fofhealthcenter.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
122,www.gr8look.com,1,1,1,Buffalo_NY_L,Aesthetic Associates Centre,Plastic surgery clinic,https://www.gr8look.com/,https://www.google.com/search?q=site%3Awww.gr8look.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
123,www.halberstadtortho.com,1,1,1,NYC_NY_L,Geoffrey Halberstadt,Medical clinic,https://www.halberstadtortho.com/,https://www.google.com/search?q=site%3Awww.halberstadtortho.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
124,www.harlemunited.org,1,1,1,NYC_NY_L,Harlem United's The Nest Community Health Center,Community health center,http://www.harlemunited.org/,https://www.google.com/search?q=site%3Awww.harlemunited.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
125,www.harvesthousebuffalo.org,1,1,1,Buffalo_NY_L,Good Neighbors Health Care,Medical clinic,https://www.harvesthousebuffalo.org/good-neighbors-health-care,https://www.google.com/search?q=site%3Awww.harvesthousebuffalo.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
126,www.healthright360.org,1,1,1,SanFrancisco_CA_L,HealthRIGHT 360,Addiction treatment center,http://www.healthright360.org/,https://www.google.com/search?q=site%3Awww.healthright360.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
127,www.interdent.com,1,1,1,LA_CA_L,"InterDent, Inc.",Business to business service,https://www.interdent.com/,https://www.google.com/search?q=site%3Awww.interdent.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
128,www.jawsurgerylosangeles.com,1,1,1,LA_CA_L,Jaw Surgery Los Angeles,Plastic surgery clinic,https://www.jawsurgerylosangeles.com/?y_source=1_MTY5Njc1NzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.google.com/search?q=site%3Awww.jawsurgerylosangeles.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
129,www.jrchc.org,1,1,1,Buffalo_NY_L,Jericho Road Community Health Center at Buffalo City Mission,Community health center,http://www.jrchc.org/,https://www.google.com/search?q=site%3Awww.jrchc.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
130,www.kcsinc.org,1,1,1,LA_CA_L,KCS Health Center - Orangethorpe,Medical clinic,https://www.kcsinc.org/,https://www.google.com/search?q=site%3Awww.kcsinc.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
131,www.lakheir.org,1,1,1,LA_CA_L,Kheir Clinic Suite 120,Medical clinic,http://www.lakheir.org/,https://www.google.com/search?q=site%3Awww.lakheir.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
132,www.losportalesmd.com,1,1,1,SanFrancisco_CA_L,Los Portales Medical and Dental Center,Medical Center,https://www.losportalesmd.com/,https://www.google.com/search?q=site%3Awww.losportalesmd.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
133,www.lynetteklineod.com,1,1,1,FortBragg_CA_S,"Lynette Kline, OD",Optometrist,http://www.lynetteklineod.com/,https://www.google.com/search?q=site%3Awww.lynetteklineod.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
134,www.maconvolunteerclinic.org,1,1,1,Macon_GA_M,Macon Volunteer Clinic,Medical clinic,http://www.maconvolunteerclinic.org/,https://www.google.com/search?q=site%3Awww.maconvolunteerclinic.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
135,www.manhattanaudiology.com,1,1,1,NYC_NY_L,Queens Audiology PLLC,Medical clinic,https://www.manhattanaudiology.com/,https://www.google.com/search?q=site%3Awww.manhattanaudiology.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
136,www.marvabuttersdpm.com,1,1,1,NYC_NY_L,Sterling Podiatric PC,Medical clinic,http://www.marvabuttersdpm.com/,https://www.google.com/search?q=site%3Awww.marvabuttersdpm.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
137,www.mccn.org,1,1,1,LA_CA_L,"Mission City Community Network, Inc - North Hills",Medical clinic,http://www.mccn.org/,https://www.google.com/search?q=site%3Awww.mccn.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
138,www.medicalorthodontics.org,1,1,1,NYC_NY_L,Medical Orthodontics,Medical spa,http://www.medicalorthodontics.org/,https://www.google.com/search?q=site%3Awww.medicalorthodontics.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
139,www.mendocinocoasteyecare.com,1,1,1,FortBragg_CA_S,"J. Kyle Smith, OD",Optometrist,http://www.mendocinocoasteyecare.com/,https://www.google.com/search?q=site%3Awww.mendocinocoasteyecare.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
140,www.millenniumhealthcenters.com,1,1,1,LA_CA_L,Millennium Health Group,Alternative medicine practitioner,http://www.millenniumhealthcenters.com/,https://www.google.com/search?q=site%3Awww.millenniumhealthcenters.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
141,www.mobile3dadvantage.com,1,1,1,LA_CA_L,Mobile 3D Advantage,X-ray lab,https://www.mobile3dadvantage.com/,https://www.google.com/search?q=site%3Awww.mobile3dadvantage.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
142,www.montefiore.org,1,1,1,NYC_NY_L,Montefiore Janice A Simpson,Medical clinic,http://www.montefiore.org/,https://www.google.com/search?q=site%3Awww.montefiore.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
143,www.nativehealth.org,1,1,1,SanFrancisco_CA_L,Native American Health Center - 160 Capp St,Medical clinic,http://www.nativehealth.org/,https://www.google.com/search?q=site%3Awww.nativehealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
144,www.nemspace.org,1,1,1,SanFrancisco_CA_L,NEMS PACE San Francisco Chinatown Center,Community health center,https://www.nemspace.org/,https://www.google.com/search?q=site%3Awww.nemspace.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
145,www.neobiotechusa.com,1,1,1,LA_CA_L,Neobiotech USA,Medical equipment supplier,http://www.neobiotechusa.com/,https://www.google.com/search?q=site%3Awww.neobiotechusa.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
146,www.nevhc.org,1,1,1,LA_CA_L,Northeast Valley Health Corporation (San Fernando Health Center),Medical clinic,http://www.nevhc.org/,https://www.google.com/search?q=site%3Awww.nevhc.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
147,www.northcentralhealthdistrict.org,1,1,1,Macon_GA_M,North Central Health District,State government office,http://www.northcentralhealthdistrict.org/,https://www.google.com/search?q=site%3Awww.northcentralhealthdistrict.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
148,www.northcoastclinics.org,1,1,1,Eureka_CA_S,North Coast Clinics Network,Business administration service,http://www.northcoastclinics.org/,https://www.google.com/search?q=site%3Awww.northcoastclinics.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
149,www.openarmsclinicga.com,1,1,1,Toccoa_GA_S,Open Arms Clinic,Medical clinic,http://www.openarmsclinicga.com/,https://www.google.com/search?q=site%3Awww.openarmsclinicga.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
150,www.partnershiphp.org,1,1,1,Eureka_CA_S,Partnership Healthplan Of California,Government office,http://www.partnershiphp.org/,https://www.google.com/search?q=site%3Awww.partnershiphp.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
151,www.projectrenewal.org,1,1,1,NYC_NY_L,Project Renewal Fort Washington Men's Shelter,Homeless shelter,http://www.projectrenewal.org/,https://www.google.com/search?q=site%3Awww.projectrenewal.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
152,www.raddico.com,1,1,1,LA_CA_L,Granada Hills Radiology,X-ray lab,http://www.raddico.com/,https://www.google.com/search?q=site%3Awww.raddico.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
153,www.rjimmigrationlaw.com,1,1,1,Buffalo_NY_L,Richards and Jurusik Immigration Lawyers,Immigration attorney,https://www.rjimmigrationlaw.com/,https://www.google.com/search?q=site%3Awww.rjimmigrationlaw.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
154,www.ronrinaldi.com,1,1,1,NYC_NY_L,Ron Rinaldi Photography,Photographer,http://www.ronrinaldi.com/,https://www.google.com/search?q=site%3Awww.ronrinaldi.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
155,www.sf.gov,1,1,1,SanFrancisco_CA_L,Tom Waddell Urban Health Center,Medical clinic,http://www.sf.gov/location/tom-waddell-urban-health-clinic,https://www.google.com/search?q=site%3Awww.sf.gov+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
156,www.sleepdunwoody.com,1,1,1,Atlanta_GA_L,Sleep Better Georgia,Sleep clinic,https://www.sleepdunwoody.com/?utm_source=google&utm_medium=organic&utm_campaign=gbpDunwoody,https://www.google.com/search?q=site%3Awww.sleepdunwoody.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
157,www.sleepwellorthotics.com,1,1,1,NYC_NY_L,SleepWell Orthotics,Sleep clinic,https://www.sleepwellorthotics.com/,https://www.google.com/search?q=site%3Awww.sleepwellorthotics.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
158,www.sunriver.org,1,1,1,NYC_NY_L,Sun River Health Staten Island,Medical clinic,https://www.sunriver.org/your-health/sun-river-health-staten-island/,https://www.google.com/search?q=site%3Awww.sunriver.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
159,www.superdoctors.com,1,1,1,NYC_NY_L,Head & Neck Surgical Group,Otolaryngology clinic,https://www.superdoctors.com/new-york-metro/hospital-clinic/Head-and-Neck-Surgical-Group/c8bd9019-fa74-4f4c-985a-8a1ec915098f.html,https://www.google.com/search?q=site%3Awww.superdoctors.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
160,www.thecompound716.com,1,1,1,Buffalo_NY_L,Struggle Compound,Clothing store,https://www.thecompound716.com/,https://www.google.com/search?q=site%3Awww.thecompound716.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
161,www.ucsfhealth.org,1,1,1,SanFrancisco_CA_L,"Richard Jordan, D.D.S.",Pathologist,https://www.ucsfhealth.org/providers/dr-richard-c-jordan,https://www.google.com/search?q=site%3Awww.ucsfhealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
162,www.urbanhealthplan.org,1,1,1,NYC_NY_L,Urban Health Plan,Medical clinic,http://www.urbanhealthplan.org/,https://www.google.com/search?q=site%3Awww.urbanhealthplan.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
163,www.va.gov,1,1,1,Eureka_CA_S,Eureka VA Clinic,Medical clinic,https://www.va.gov/san-francisco-health-care/locations/eureka-va-clinic/,https://www.google.com/search?q=site%3Awww.va.gov+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
164,www.venicefamilyclinic.org,1,1,1,LA_CA_L,Venice Family Clinic - Simms/Mann Health Ctr,Medical clinic,https://www.venicefamilyclinic.org/,https://www.google.com/search?q=site%3Awww.venicefamilyclinic.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
165,www.viacarela.org,1,1,1,LA_CA_L,Via Care Cesar Chavez Health Center,Medical clinic,https://www.viacarela.org/,https://www.google.com/search?q=site%3Awww.viacarela.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
166,www.visodentnyc.com,1,1,1,NYC_NY_L,"VisoDent NYC - Teeth whitening, Invisalign, Aesthetics clinic",Doctor,https://www.visodentnyc.com/,https://www.google.com/search?q=site%3Awww.visodentnyc.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
167,www.vistacommunityclinic.org,1,1,1,LA_CA_L,VCC: The Gary Center,Medical clinic,https://www.vistacommunityclinic.org/events/grand-opening-vcc-gary-center/,https://www.google.com/search?q=site%3Awww.vistacommunityclinic.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
168,www.wattshealth.org,1,1,1,LA_CA_L,Watts Healthcare - Watts Health Center,Community health center,http://www.wattshealth.org/,https://www.google.com/search?q=site%3Awww.wattshealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
169,www.whitefoord.org,1,1,1,Atlanta_GA_L,"Whitefoord, Inc.",Medical clinic,http://www.whitefoord.org/,https://www.google.com/search?q=site%3Awww.whitefoord.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
170,www.windsorpodiatry.com,1,1,1,NYC_NY_L,Windsor Podiatry,Medical clinic,http://www.windsorpodiatry.com/,https://www.google.com/search?q=site%3Awww.windsorpodiatry.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
171,www.yai.org,1,1,1,NYC_NY_L,Premier HealthCare & YAI Center for Specialty Therapy,Medical clinic,https://www.yai.org/locations/healthcare,https://www.google.com/search?q=site%3Awww.yai.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
